type,name,notice,furigana
大型ごみ ,スキー板 ,1対で1点　　ストックとセットでも可,す
大型ごみ ,スキーキャリア ,"1対で1点
50センチメートル以下は燃やせないごみ",す
燃やせないごみ ,スキーぐつ ,スキーぐつ・スケートぐつ以外のくつは燃やせるごみ ,す
燃やせないごみ ,スキーストック ,大きさに関わらず燃やせないごみ　,す
燃やせないごみ ,スケートぐつ ,スキーぐつ・スケートぐつ以外のくつは燃やせるごみ　,す
燃やせないごみ ,スケートボード ,50センチメートルを超えるものは大型ごみ,す
燃やせないごみ ,スコップ ,大きさに関わらず燃やせないごみ ,す
燃やせないごみ ,すずり ,,す
燃やせるごみ ,すだれ ,"幅140センチメートルを超えるものは大型ごみ
4メートルまで可　　巻いておく",す
大型ごみ ,ステレオコンポ ,"50センチメートル以下は燃やせないごみ
スピーカーは含まない
スピーカーは1対で1点",す
燃やせないごみ ,ステンレス製の棒 ,50センチメートルを超え2メートル未満のものは大型ごみ　　3本まで1点 ,す
処理困難物 ,砂 ,市が収集処理できないもの,す
大型ごみ ,スノーボード ,2メートル未満のものに限る,す
大型ごみ ,すのこ ,"3枚まで1点
50センチメートル以下は燃やせないごみ",す
燃やせないごみ ,スピーカー ,"1対で1点
50センチメートルを超えるものは大型ごみ",す
金属類 ,スプーン ,「金属類」指定10品目 ,す
大型ごみ ,スプリングマット ,"幅140センチメートル以下のものに限る
幅140センチメートルを超えるものは処理困難物",す
かん ,スプレーかん ,ヘアスプレー・カセットボンベ・殺虫用など,す
大型ごみ ,ズボンプレッサー ,50センチメートル以下は燃やせないごみ,す
燃やせるごみ ,炭 ,,す
燃やせるごみ ,スリッパ ,,す
衣類・布類 ,セーター ,,せ
特定粗大ごみ ,石油ストーブ ,"点火装置が危険なため
石油は抜き、電池は外す",せ
特定粗大ごみ ,石油ファンヒーター ,"点火装置が危険なため
石油は抜き、電池は外す",せ
処理困難物 ,石こうボード（石こう） ,市が収集処理できないもの ,せ
燃やせないごみ ,せともの ,50センチメートルを超えるものは大型ごみ,せ
家電リサイクル ,洗濯機 ,家電リサイクル法対象品目,せ
大型ごみ ,扇風機 ,羽根を外した状態で高さ50センチメートル以下は燃やせないごみ,せ
燃やせないごみ ,洗面器 ,,せ
大型ごみ ,洗面台（家庭用） ,自分で取り外したものに限る,せ
大型ごみ ,掃除機 ,ホースを外した状態で本体の長さ50センチメートル以下は燃やせないごみ,そ
処理困難物 ,ソーラーパネル ,市が収集処理できないもの ,そ
特定大型ごみ ,ソファー ,"50センチメートル以下は燃やせないごみ
1メートル以下は大型ごみ
マットだけのもの（骨組みがなく1メートル以下まで丸められるもの）は大型ごみ",そ
燃やせないごみ ,体重計（ヘルスメーター） ,50センチメートルを超えるものは大型ごみ ,た
特定粗大ごみ ,タイヤチェーン（金属製） ,"まとめる
ゴム・プラスチック製のものは「燃やせないごみ」 ",た
燃やせないごみ ,タイヤ（自転車用） ,ホイール・車輪付で50センチメートルを超えるものは大型ごみ,た
処理困難物 ,タイヤ（自動車用） ,市が収集処理できないもの　ホイールも同様の扱い,た
処理困難物,タイル ,市が収集処理できないもの,た
燃やせるごみ ,ダウンジャケット ,,た
衣類・布類 ,タオル・タオルケット ,,た
大型ごみ ,高枝バサミ ,140センチメートル以下は燃やせないごみ,た
燃やせるごみ ,抱き枕 ,,た
燃やせないごみ ,竹馬 ,140センチメートルを超えるものは大型ごみ　1対で1点,た
処理困難物 ,畳 ,市が収集処理できないもの ,た
大型ごみ ,畳（マットタイプ） ,"3枚まで1点
畳芯が発砲スチロール等のものに限る
50センチメートル以下は燃やせないごみ",た
プラスチック製容器包装類 ,卵パック ,プラマークがなければ燃やせるごみ,た
大型ごみ ,たらい（金属製） ,50センチメートル以下は燃やせないごみ ,た
燃やせないごみ ,たらい（プラスチック製） ,50センチメートルを超えるものは大型ごみ,た
特定大型ごみ ,タンス ,"50センチメートル以下は燃やせないごみ
1メートル以下は大型ごみ",た
特定粗大ごみ ,ダンベル ,棒と重り2枚まで1点　　追加の重りは2枚で1点,た
特定大型ごみ ,チェスト ,"50センチメートル以下は燃やせないごみ
1メートル以下は大型ごみ",ち
大型ごみ ,チャイルドシート ,50センチメートル以下は燃やせないごみ,ち
大型ごみ ,茶箱 ,50センチメートル以下は燃やせないごみ　,ち
特定大型ごみ ,ちゃぶ台 ,"50センチメートル以下は燃やせないごみ
1メートル以下は大型ごみ",ち
燃やせないごみ ,茶碗 ,,ち
燃やせないごみ ,ちりとり ,,ち
特定大型ごみ ,机 ,"50センチメートル以下は燃やせないごみ
1メートル以下は大型ごみ",つ
処理困難物 ,漬物石 ,"市が収集処理できないもの
ビニール・プラスチック製カバーがついたものも同様の扱い",つ
処理困難物 ,土 ,市が収集処理できないもの,つ
燃やせないごみ ,突っ張り棒 ,"140センチメートルを超えるものは大型ごみ
3本で1点",つ
燃やせないごみ ,釣り竿 ,大きさにかかわらず燃やせないごみ ,つ
特定大型ごみ ,テーブル ,"50センチメートル以下は燃やせないごみ
1メートル以下は大型ごみ",て
燃やせるごみ ,テーブルクロス（ビニール製） ,,て
金属類 ,テーブルナイフ ,「金属類」指定10品目 ,て
燃やせないごみ ,デジタルカメラ ,,て
特定粗大ごみ ,鉄アレイ ,2個まで1点,て
大型ごみ ,鉄琴 ,50センチメートル以下は燃やせないごみ,て
燃やせないごみ ,鉄製の棒 ,"50センチメートルを超え2メートル未満のものは大型ごみ
3本まで1点",て
燃やせないごみ ,鉄板 ,"50センチメートルを超えるものは大型ごみ
1枚で1点",て
燃やせるごみ ,テニスボール ,,て
燃やせないごみ ,テニスラケット ,大きさにかかわらず燃やせないごみ　,て
家電リサイクル ,テレビ ,家電リサイクル法対象品目（液晶・プラズマ・ブラウン管のもの）,て
大型ごみ ,テレビ台 ,50センチメートル以下は燃やせないごみ,て
大型ごみ ,テレビ（プロジェクター式） ,50センチメートル以下は燃やせないごみ,て
燃やせないごみ ,電気オーブン ,50センチメートルを超えるものは大型ごみ　,て
処理困難物 ,電気温水タンク ,市が収集処理できないもの ,て
燃やせないごみ ,電気スタンド ,50センチメートルを超えるものは大型ごみ,て
大型ごみ ,電気ストーブ ,50センチメートル以下は燃やせないごみ,て
燃やせるごみ ,電気毛布 ,小さくたたんでひもでしばってください,て
処理困難物 ,電子ピアノ ,"市が収集処理できないもの
卓上タイプは大型ごみ",て
大型ごみ ,電子レンジ ,50センチメートル以下は燃やせないごみ,て
